1950	12.5	15.9	17.4	17.4	22.4	28.9	32.4	28.6	26.2	22.0	18.0	10.3
1951	12.4	13.1	15.2	16.7	18.9	25.9	29.4	27.6	26.1	19.3	17.2	14.1
1952	10.8	12.8	17.8	19.2	24.1	29.2	31.3	29.4	24.1	21.6	16.4	12.8
1953	12.4	13.3	16.2	18.7	25.1	23.2	28.0	29.3	26.7	22.0	18.2	15.3
1954	11.4	12.3	15.7	16.9	20.9	25.9	27.3	27.5	25.8	23.0	19.0	14.9
1955	14.3	13.8	15.3	21.1	22.3	25.7	29.3	28.9	26.3	20.7	16.7	14.9
1956	13.6	 8.3	15.8	16.7	23.1	24.1	28.5	28.3	27.2	20.7	14.4	13.0
1957	12.5	16.1	18.4	18.5	19.4	24.6	28.0	27.4	26.0	20.8	15.5	12.4
1958	12.4	15.9	15.3	17.4	24.1	25.2	28.0	29.3	28.2	21.8	15.5	14.1
1959	12.9	13.9	16.1	18.7	21.8	26.7	31.4	28.8	24.4	20.2	15.9	14.2
1960	12.5	15.0	16.4	19.0	24.6	26.8	26.8	27.4	23.8	19.0	16.9	10.3
1961	11.4	16.2	18.7	20.2	22.8	26.6	28.8	28.8	27.7	21.7	16.4	14.9
1962	14.9	13.1	13.6	17.4	20.8	26.1	28.6	30.9	27.1	21.7	14.5	11.4
1963	 9.8	10.1	16.6	18.7	22.2	25.4	29.8	26.2	23.5	22.0	17.7	11.5
1964	11.6	13.9	15.1	17.9	24.7	27.7	31.1	29.2	27.3	20.3	17.5	11.7
1965	12.6	11.1	16.0	17.9	23.4	27.3	27.8	28.2	23.8	20.7	16.4	14.2
1966	12.8	16.0	16.7	19.8	22.6	27.4	26.4	27.8	27.7	21.1	14.7	14.1
1967	12.4	14.3	17.8	18.0	22.2	25.4	31.4	29.5	25.5	23.7	17.7	12.5
1968	14.2	14.1	15.5	19.2	21.9	25.2	29.1	27.3	26.0	25.5	16.8	13.3
1969	13.2	11.8	15.7	17.8	22.5	24.5	29.3	28.0	23.8	21.7	15.6	10.4
1970	13.5	14.0	13.2	17.4	21.4	26.2	29.0	28.3	27.6	21.1	18.4	11.0
1971	12.5	14.7	13.0	19.0	20.8	25.1	30.2	30.5	25.4	22.6	14.7	13.5
1972	11.7	13.2	16.3	17.6	21.1	23.1	28.3	26.2	22.1	19.8	17.3	12.9
1973	12.6	12.4	15.2	18.6	23.8	26.8	29.7	30.4	26.8	21.3	16.9	12.8
1974	14.8	13.1	15.1	15.9	21.8	25.2	29.3	28.8	24.3	17.0	16.2	14.6
1975	15.4	14.4	13.9	18.7	20.3	24.6	30.0	29.4	25.1	21.3	15.8	12.1
1976	13.7	13.9	16.7	16.8	21.9	29.1	29.4	28.3	24.0	19.5	15.5	12.9
1977	12.7	16.4	17.6	18.2	18.6	23.7	26.1	25.8	25.2	22.1	16.1	13.7
1978	11.4	13.8	16.6	15.1	20.1	23.1	27.3	28.5	27.3	21.9	17.0	14.1
1979	13.1	13.9	16.3	17.7	21.6	27.7	30.3	27.6	24.9	20.4	15.4	13.3
1980	11.2	14.3	15.2	16.2	19.5	23.9	27.5	29.8	27.1	21.8	14.8	11.0
1981	12.4	11.6	17.2	17.3	19.9	27.0	28.4	29.6	27.1	23.1	17.8	14.2
1982	14.2	13.1	14.0	18.3	21.7	27.3	31.9	27.0	26.9	20.8	16.6	14.0
1983	14.3	10.6	16.1	18.7	21.8	28.0	34.7	28.9	28.3	23.7	16.9	13.6
1984	12.7	11.7	13.8	18.2	18.4	25.3	30.8	27.7	25.6	21.7	18.3	13.9
1985	 8.8	15.5	14.7	20.0	19.3	26.2	32.3	30.6	31.1	24.2	14.5	15.6
1986	12.7	11.2	15.7	15.9	25.5	27.9	32.5	31.3	28.2	22.2	18.3	13.7
1987	10.8	13.4	14.7	20.0	21.1	26.1	29.7	30.1	30.2	21.8	16.5	15.4
1988	14.8	14.8	17.5	18.2	21.4	25.5	29.9	30.1	27.3	23.1	16.6	14.8
1989	14.2	16.3	18.6	17.9	23.8	26.3	31.9	30.2	25.6	23.5	17.4	15.9
1990	14.6	17.9	18.7	17.8	24.2	26.3	31.7	31.2	25.8	22.0	16.1	11.5
1991	12.5	13.4	16.7	18.2	20.8	25.9	31.3	31.9	28.1	20.0	16.0	12.6
1992	12.6	13.9	16.2	20.2	23.8	22.7	28.0	30.8	25.2	18.5	18.1	13.6
1993	14.5	12.8	17.0	18.1	22.2	26.6	28.6	31.0	25.3	19.5	14.6	14.3
1994	13.9	14.3	20.0	18.0	24.5	28.4	33.1	31.9	24.6	20.6	18.9	14.7
1995	13.5	16.7	16.2	20.8	22.7	25.5	31.4	29.6	23.3	23.4	17.6	14.3
1996	14.1	12.9	15.0	18.9	22.1	27.8	30.1	28.9	23.9	20.3	15.6	13.4
1997	12.5	16.8	20.8	20.6	24.1	25.4	28.0	30.3	27.6	24.2	17.1	13.1
1998	13.9	16.2	18.4	18.8	23.8	26.9	30.9	30.7	26.0	21.6	15.8	12.9
1999	13.3	14.3	17.3	19.7	24.0	27.4	30.1	31.1	27.4	22.4	15.3	12.6
2000	12.6	16.6	19.2	19.0	24.2	27.7	28.6	31.9	27.1	20.6	16.7	15.6
2001	14.5	15.5	20.4	19.4	24.5	29.1	30.2	31.7	25.3	24.9	15.4	12.0
2002	14.1	16.1	18.3	19.3	21.5	28.7	28.9	27.9	25.6	22.3	18.2	13.9
2003	13.0	11.6	17.9	20.4	24.7	32.8	33.0	35.0	26.0	19.3	17.0	13.6
2004	13.5	13.3	15.1	18.0	21.8	28.6	30.3	31.1	27.3	24.7	16.8	13.4
2005	13.0	11.7	16.1	19.8	24.6	30.3	31.6	29.4	26.2	21.8	15.6	11.6
2006	11.8	14.1	17.5	21.4	25.1	29.6	34.4	28.6	26.6	24.1	19.7	14.3
2007	14.9	16.5	17.4	20.7	24.1	28.2	29.9	28.4	27.3	22.0	17.8	13.8
2008	15.6	15.6	16.2	20.0	21.8	27.1	30.6	30.7	26.4	21.8	15.6	11.3
2009	12.0	14.5	17.4	18.5	25.5	29.9	30.9	32.9	27.2	23.3	18.9	13.6
2010	11.2	12.9	14.9	20.2	21.1	27.0	31.7	30.8	26.2	20.7	16.1	12.9
2011	13.1	15.8	16.3	22.8	25.3	26.7	27.9	30.9	28.8	24.7	18.0	15.7
2012	14.4	13.1	19.3	18.2	24.8	29.3	30.2	32.9	27.0	22.4	17.1	14.7
2013	14.3	12.5	16.1	18.5	20.8	26.4	32.4	30.9	27.8	24.8	17.2	15.0
2014	14.4	15.9	18.2	21.8	23.1	29.1	29.0	28.7	27.8	25.7	19.1	14.3
