1950	 14.8	  3.0	 18.0	 66.7	 86.3	 19.3	  0.0	122.2	 78.8	 15.6	  1.6	 81.4
1951	 34.8	 64.5	 93.8	 66.0	 99.8	 33.6	 27.4	110.7	 87.9	161.9	 70.7	 37.1
1952	 32.1	 27.2	 55.5	 12.6	 78.8	 33.1	 74.3	  1.3	136.2	114.5	 39.0	 25.7
1953	  0.0	  1.4	 49.5	 12.4	 41.2	118.4	  6.2	 57.8	120.8	112.2	  0.9	 54.6
1954	  8.3	 43.2	105.0	 58.9	131.4	 47.3	 37.8	  2.7	 33.7	  2.5	  7.9	 70.0
1955	 91.2	 61.0	 41.0	  8.6	  3.7	 84.8	 41.1	114.9	 92.0	137.0	 38.4	 51.3
1956	  9.2	  6.0	121.4	 99.9	 48.9	 32.6	  9.3	 46.1	 79.2	 88.5	 61.7	 14.9
1957	  1.3	 33.2	  8.9	 79.2	143.0	 65.8	 18.5	 87.5	 61.6	122.9	 49.6	 69.3
1958	 44.3	  0.0	 44.7	 26.6	 42.4	 32.5	 20.1	 20.1	  1.3	 61.8	127.4	150.3
1959	  0.7	 63.9	138.0	 15.2	 44.9	 21.6	  4.6	 55.6	309.5	182.1	 31.6	 44.4
1960	 46.1	 52.9	 87.2	 40.6	 13.3	129.6	102.6	 19.6	113.9	137.7	 23.9	121.9
1961	 45.8	  0.0	 15.7	 19.0	 52.8	 20.3	  0.0	 71.7	 80.4	 70.3	 68.2	  2.0
1962	 71.7	 54.8	 62.0	 63.1	 63.1	 28.2	 21.9	 16.8	166.1	114.2	 94.8	 67.8
1963	 54.0	 32.6	 11.7	 45.1	 25.1	 48.2	 84.2	 98.9	151.3	 12.8	 71.3	 72.3
1964	 12.1	 73.8	 59.4	 21.9	 29.5	 30.7	  0.0	 49.0	 66.8	 28.0	 53.4	 91.1
1965	 14.4	 35.6	 20.1	 40.2	 21.6	 19.9	 14.8	 63.6	 45.2	222.1	 39.7	 24.4
1966	 47.3	 59.3	 16.7	 29.3	 48.1	 28.8	 22.3	 13.1	 56.4	108.5	 21.2	  0.0
1967	 15.1	 30.7	 67.4	 75.9	 27.1	 25.5	  0.0	 63.0	 91.4	113.9	112.5	  7.0
1968	  0.0	 47.1	 53.8	 50.9	 44.0	121.0	  1.2	145.4	 55.3	  0.2	114.6	 45.9
1969	 38.3	 39.2	101.6	228.4	 39.6	 29.7	 24.9	 22.9	149.3	122.9	 31.4	 47.4
